mol_id,mol_name,mol_url,mw,alogp,hdon,hacc,ob,caco2,bbb,dl,fasa,halflife
MOL005021,Mipax,https://tcmsp-e.com/molecule.php?qn=5021,194.20,1.54,0,4,57.4,0.64,0.63,0.06,0.00,5.56
MOL005224,TETRATETRACONTANE,https://tcmsp-e.com/molecule.php?qn=5224,619.34,20.44,0,0,7.82,2.04,1.22,0.25,0.16,
MOL005272,13-Tetradecenyl acetate,https://tcmsp-e.com/molecule.php?qn=5272,254.46,5.52,0,2,36.76,1.36,1.06,0.1,0.20,5.71
MOL005368,Methyl tricosanoate,https://tcmsp-e.com/molecule.php?qn=5368,368.72,9.81,0,2,14.61,1.43,1.08,0.33,0.16,
MOL005402,Methyl margarate,https://tcmsp-e.com/molecule.php?qn=5402,284.54,7.08,0,2,17.41,1.37,1.25,0.14,0.17,
MOL005577,undecanal,https://tcmsp-e.com/molecule.php?qn=5577,170.33,4.13,0,1,22.9,1.38,1.41,0.03,0.20,
MOL005841,TBP,https://tcmsp-e.com/molecule.php?qn=5841,266.36,3.64,0,4,27.76,1.18,0.90,0.06,0.00,
MOL006219,Clorius,https://tcmsp-e.com/molecule.php?qn=6219,136.16,1.69,0,2,45.99,1.25,1.41,0.02,0.40,-2.16
MOL006312,Azulol,https://tcmsp-e.com/molecule.php?qn=6312,198.33,4.91,0,0,15.15,1.94,1.83,0.07,0.38,
MOL006370,5-o-caffeoylquinic acid,https://tcmsp-e.com/molecule.php?qn=6370,354.34,-0.42,6,9,19.61,-1.39,-2.08,0.33,0.36,
MOL007197,DFA,https://tcmsp-e.com/molecule.php?qn=7197,169.24,3.38,1,1,31.13,1.85,1.87,0.05,0.49,7.72
MOL007792,Isomartynoside,https://tcmsp-e.com/molecule.php?qn=7792,652.71,0.89,7,15,13.98,-1.60,-2.44,0.56,0.29,
MOL008151,METHYL NONADECANOATE,https://tcmsp-e.com/molecule.php?qn=8151,312.60,7.99,0,2,16.27,1.40,1.18,0.19,0.15,
MOL008206,Moslosooflavone,https://tcmsp-e.com/molecule.php?qn=8206,298.31,2.84,1,5,44.09,1.01,0.54,0.25,0.26,17.02
MOL008595,methyl henicosanoate,https://tcmsp-e.com/molecule.php?qn=8595,340.66,8.90,0,2,15.36,1.42,1.17,0.26,0.15,
MOL008615,Methyl 9-oxononanoate,https://tcmsp-e.com/molecule.php?qn=8615,186.28,2.17,0,3,24.02,0.62,0.17,0.04,0.20,
MOL009520,"3,8-dimethylundecane",https://tcmsp-e.com/molecule.php?qn=9520,184.41,5.89,0,0,4.72,1.81,2.02,0.03,0.20,
MOL009730,methyl icos-11-enoate,https://tcmsp-e.com/molecule.php?qn=9730,324.61,8.00,0,2,29.49,1.43,1.19,0.23,0.18,
MOL009734,Methyl lignocerate,https://tcmsp-e.com/molecule.php?qn=9734,382.75,10.27,0,2,14.27,1.47,0.94,0.37,0.13,
MOL010206,Methyl isoheptadecanoate,https://tcmsp-e.com/molecule.php?qn=10206,284.54,6.87,0,2,21.72,1.39,1.28,0.14,0.16,
MOL010415,"11,13-Eicosadienoic acid, methyl ester",https://tcmsp-e.com/molecule.php?qn=10415,322.59,7.55,0,2,39.28,1.46,1.24,0.23,0.21,5.44
MOL010563,Methyl (Z)-cinnamate,https://tcmsp-e.com/molecule.php?qn=10563,162.20,2.15,0,2,37.2,1.31,1.56,0.04,0.35,7.75
MOL011081,Linolenic acid methyl ester,https://tcmsp-e.com/molecule.php?qn=11081,292.51,6.20,0,2,46.15,1.51,1.18,0.17,0.23,5.90
MOL011322,Diisobutyl succinate,https://tcmsp-e.com/molecule.php?qn=11322,230.34,2.48,0,4,39.54,0.69,0.29,0.06,0.25,4.81
MOL012240,"2',3',5,7-tetrahydroxyflavone",https://tcmsp-e.com/molecule.php?qn=12240,286.25,2.07,4,6,25.75,0.36,-0.60,0.24,0.38,
MOL012245,"5,7,4'-trihydroxy-6-methoxyflavanone",https://tcmsp-e.com/molecule.php?qn=12245,302.30,2.28,3,6,36.63,0.43,-0.32,0.27,0.28,16.12
MOL012246,"5,7,4'-trihydroxy-8-methoxyflavanone",https://tcmsp-e.com/molecule.php?qn=12246,302.30,2.28,3,6,74.24,0.37,-0.43,0.26,0.31,16.85
MOL012266,rivularin,https://tcmsp-e.com/molecule.php?qn=12266,344.34,2.55,2,7,37.94,0.65,-0.13,0.37,0.21,16.25
MOL012267,Scutevulin,https://tcmsp-e.com/molecule.php?qn=12267,300.28,2.32,3,6,20.67,0.64,-0.13,0.27,0.29,
MOL012564,"3,7-dimethylnonane",https://tcmsp-e.com/molecule.php?qn=12564,156.35,4.98,0,0,15.31,1.80,2.12,0.02,0.21,
MOL013062,BZQ,https://tcmsp-e.com/molecule.php?qn=13062,182.23,3.23,0,1,58.62,1.44,1.52,0.06,0.49,21.31
MOL013161,METHYL HEXACOSANOATE,https://tcmsp-e.com/molecule.php?qn=13161,410.81,11.18,0,2,13.68,1.49,1.11,0.43,0.15,
