mol_id,mol_name,mol_url,target_name,target_id,drugbank_id
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,Heat shock protein HSP 90,444,1939
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,Cell division protein kinase 2,482,2240
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,mRNA of PKA Catalytic Subunit C-alpha,699,6263
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,Trypsin-1,2928,3176
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,Nuclear receptor coactivator 2,3276,6241
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,Nuclear receptor coactivator 1,3279,6228
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,Calmodulin,3907,465
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,Serine/threonine-protein kinase Chk1,647,5790
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,Beta-2 adrenergic receptor,261,766
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,"CGMP-inhibited 3',5'-cyclic phosphodiesterase A",172,485
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,Transcription factor p65,4565,N/A
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,Apoptosis regulator Bcl-2,86,273
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,Cyclin-dependent kinase inhibitor 1,4141,N/A
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,Apoptosis regulator BAX,4033,N/A
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,Caspase-3,4087,N/A
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,Cellular tumor antigen p53,646,5788
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,Caspase-8,4089,N/A
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,Fatty acid synthase,374,1295
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,Tumor necrosis factor ligand superfamily member 6,4584,N/A
MOL001689,acacetin,https://tcmsp-e.com/molecule.php?qn=1689,Cytochrome P450 19A1,4148,N/A
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,"Nitric oxide synthase, inducible",3,7
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Prostaglandin G/H synthase 1,6,20
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Estrogen receptor,46,136
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Androgen receptor,48,146
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Sodium channel protein type 5 subunit alpha,70,220
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Peroxisome proliferator activated receptor gamma,78,238
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Prostaglandin G/H synthase 2,94,290
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Retinoic acid receptor RXR-alpha,158,459
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,"CGMP-inhibited 3',5'-cyclic phosphodiesterase A",172,485
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Dipeptidyl peptidase IV,332,952
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Mitogen-activated protein kinase 14,402,1540
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Glycogen synthase kinase-3 beta,422,1721
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Heat shock protein HSP 90,444,1939
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Cell division protein kinase 2,482,2240
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Serine/threonine-protein kinase Chk1,647,5790
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,mRNA of PKA Catalytic Subunit C-alpha,699,6263
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Trypsin-1,2928,3176
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Calmodulin,3907,465
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Beta-2 adrenergic receptor,261,766
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Gamma-aminobutyric acid receptor subunit alpha-1,309,872
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Transcription factor p65,4565,N/A
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,RAC-alpha serine/threonine-protein kinase,4490,N/A
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,G1/S-specific cyclin-D1,4214,N/A
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Apoptosis regulator Bcl-2,86,273
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Cyclin-dependent kinase inhibitor 1,4141,N/A
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Eukaryotic translation initiation factor 6,4197,N/A
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Apoptosis regulator BAX,4033,N/A
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Caspase-9,4090,N/A
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Vascular endothelial growth factor receptor 2,139,407
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Tumor necrosis factor,265,777
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Transcription factor AP-1,414,1629
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Interleukin-6,351,1159
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Activator of 90 kDa heat shock protein ATPase homolog 1,4007,N/A
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Caspase-3,4087,N/A
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Cellular tumor antigen p53,646,5788
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Bcl-2-binding component 3,4051,N/A
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Telomerase protein component 1,4549,N/A
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Interstitial collagenase,353,1167
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,C-C motif chemokine 2,417,1649
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Protein kinase C delta type,4471,N/A
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Prostaglandin E2 receptor EP3 subtype,593,4131
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Fibronectin,4206,N/A
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Interleukin-8,4303,N/A
MOL000173,wogonin,https://tcmsp-e.com/molecule.php?qn=173,Induced myeloid leukemia cell differentiation protein Mcl-1,4269,N/A
MOL013068,Oroxindin,https://tcmsp-e.com/molecule.php?qn=13068,Thrombin,17,54
MOL013068,Oroxindin,https://tcmsp-e.com/molecule.php?qn=13068,Coagulation factor Xa,79,239
MOL013068,Oroxindin,https://tcmsp-e.com/molecule.php?qn=13068,Carbonic anhydrase II,117,357
MOL013068,Oroxindin,https://tcmsp-e.com/molecule.php?qn=13068,"mRNA of Protein-tyrosine phosphatase, non-receptor type 1",229,687
MOL000018,(+/-)-Isoborneol,https://tcmsp-e.com/molecule.php?qn=18,Cytochrome P450-cam,1143,2298
MOL000018,(+/-)-Isoborneol,https://tcmsp-e.com/molecule.php?qn=18,Gamma-aminobutyric-acid receptor alpha-2 subunit,141,423
MOL000018,(+/-)-Isoborneol,https://tcmsp-e.com/molecule.php?qn=18,Muscarinic acetylcholine receptor M2,210,617
MOL000018,(+/-)-Isoborneol,https://tcmsp-e.com/molecule.php?qn=18,Gamma-aminobutyric acid receptor subunit alpha-1,309,872
MOL000018,(+/-)-Isoborneol,https://tcmsp-e.com/molecule.php?qn=18,Muscarinic acetylcholine receptor M3,16,51
MOL000018,(+/-)-Isoborneol,https://tcmsp-e.com/molecule.php?qn=18,Muscarinic acetylcholine receptor M1,38,103
MOL000018,(+/-)-Isoborneol,https://tcmsp-e.com/molecule.php?qn=18,Prostaglandin G/H synthase 2,94,290
MOL000018,(+/-)-Isoborneol,https://tcmsp-e.com/molecule.php?qn=18,Gamma-aminobutyric-acid receptor alpha-5 subunit,181,523
MOL000018,(+/-)-Isoborneol,https://tcmsp-e.com/molecule.php?qn=18,Sodium-dependent noradrenaline transporter,186,540
MOL000018,(+/-)-Isoborneol,https://tcmsp-e.com/molecule.php?qn=18,Alpha-1A adrenergic receptor,191,556
MOL000018,(+/-)-Isoborneol,https://tcmsp-e.com/molecule.php?qn=18,Gamma-aminobutyric-acid receptor alpha-3 subunit,200,580
MOL000018,(+/-)-Isoborneol,https://tcmsp-e.com/molecule.php?qn=18,Gamma-aminobutyric-acid receptor subunit alpha-6,3284,841
MOL000018,(+/-)-Isoborneol,https://tcmsp-e.com/molecule.php?qn=18,Progesterone receptor,209,614
MOL000198,(R)-linalool,https://tcmsp-e.com/molecule.php?qn=198,Muscarinic acetylcholine receptor M1,38,103
MOL000198,(R)-linalool,https://tcmsp-e.com/molecule.php?qn=198,Gamma-aminobutyric-acid receptor alpha-2 subunit,141,423
MOL000198,(R)-linalool,https://tcmsp-e.com/molecule.php?qn=198,Muscarinic acetylcholine receptor M2,210,617
MOL000198,(R)-linalool,https://tcmsp-e.com/molecule.php?qn=198,Gamma-aminobutyric-acid receptor alpha-3 subunit,200,580
MOL000198,(R)-linalool,https://tcmsp-e.com/molecule.php?qn=198,Gamma-aminobutyric-acid receptor subunit alpha-6,3284,841
MOL000198,(R)-linalool,https://tcmsp-e.com/molecule.php?qn=198,Prostaglandin G/H synthase 1,6,20
MOL000198,(R)-linalool,https://tcmsp-e.com/molecule.php?qn=198,Potassium voltage-gated channel subfamily H member 2,37,101
MOL000198,(R)-linalool,https://tcmsp-e.com/molecule.php?qn=198,Sodium channel protein type 5 subunit alpha,70,220
MOL000198,(R)-linalool,https://tcmsp-e.com/molecule.php?qn=198,Coagulation factor Xa,79,239
MOL000198,(R)-linalool,https://tcmsp-e.com/molecule.php?qn=198,Prostaglandin G/H synthase 2,94,290
MOL000198,(R)-linalool,https://tcmsp-e.com/molecule.php?qn=198,Vascular endothelial growth factor receptor 2,139,407
MOL000198,(R)-linalool,https://tcmsp-e.com/molecule.php?qn=198,DNA topoisomerase II,287,817
MOL000198,(R)-linalool,https://tcmsp-e.com/molecule.php?qn=198,Heat shock protein HSP 90,444,1939
MOL000198,(R)-linalool,https://tcmsp-e.com/molecule.php?qn=198,Nuclear receptor coactivator 2,3276,6241
MOL000198,(R)-linalool,https://tcmsp-e.com/molecule.php?qn=198,Calcium-activated potassium channel subunit alpha 1,3727,610
MOL000198,(R)-linalool,https://tcmsp-e.com/molecule.php?qn=198,Muscarinic acetylcholine receptor M3,16,51
MOL000198,(R)-linalool,https://tcmsp-e.com/molecule.php?qn=198,Gamma-aminobutyric-acid receptor alpha-5 subunit,181,523
MOL000198,(R)-linalool,https://tcmsp-e.com/molecule.php?qn=198,Gamma-aminobutyric acid receptor subunit alpha-1,309,872
MOL000198,(R)-linalool,https://tcmsp-e.com/molecule.php?qn=198,Sodium-dependent noradrenaline transporter,186,540
MOL000198,(R)-linalool,https://tcmsp-e.com/molecule.php?qn=198,Progesterone receptor,209,614
MOL000219,BOX,https://tcmsp-e.com/molecule.php?qn=219,Amine oxidase [flavin-containing] B,565,3939
MOL000219,BOX,https://tcmsp-e.com/molecule.php?qn=219,Alcohol dehydrogenase 1B,726,444
MOL000219,BOX,https://tcmsp-e.com/molecule.php?qn=219,Alcohol dehydrogenase 1C,727,517
MOL000219,BOX,https://tcmsp-e.com/molecule.php?qn=219,Alcohol dehydrogenase 1A,729,251
MOL000219,BOX,https://tcmsp-e.com/molecule.php?qn=219,Lysozyme,1172,2300
MOL000219,BOX,https://tcmsp-e.com/molecule.php?qn=219,Bacillolysin,1961,2457
MOL000219,BOX,https://tcmsp-e.com/molecule.php?qn=219,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,2262,2264
MOL000219,BOX,https://tcmsp-e.com/molecule.php?qn=219,Group IIE secretory phospholipase A2,3485,6270
MOL000219,BOX,https://tcmsp-e.com/molecule.php?qn=219,Trypsin-3,3952,2886
MOL000219,BOX,https://tcmsp-e.com/molecule.php?qn=219,D-amino-acid oxidase,2992,6645
MOL000219,BOX,https://tcmsp-e.com/molecule.php?qn=219,"2-hydroxy-6-oxo-7-methylocta-2,4-dienoate hydrolase",2230,4674
MOL000219,BOX,https://tcmsp-e.com/molecule.php?qn=219,Muscarinic acetylcholine receptor M3,16,51
MOL000219,BOX,https://tcmsp-e.com/molecule.php?qn=219,Prostaglandin G/H synthase 2,94,290
MOL000219,BOX,https://tcmsp-e.com/molecule.php?qn=219,Gamma-aminobutyric-acid receptor alpha-2 subunit,141,423
MOL000219,BOX,https://tcmsp-e.com/molecule.php?qn=219,Retinoic acid receptor RXR-alpha,158,459
MOL000219,BOX,https://tcmsp-e.com/molecule.php?qn=219,Gamma-aminobutyric acid receptor subunit alpha-1,309,872
MOL000219,BOX,https://tcmsp-e.com/molecule.php?qn=219,Nuclear receptor coactivator 2,3276,6241
MOL000228,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,https://tcmsp-e.com/molecule.php?qn=228,Prostaglandin G/H synthase 1,6,20
MOL000228,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,https://tcmsp-e.com/molecule.php?qn=228,Dopamine D1 receptor,7,23
MOL000228,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,https://tcmsp-e.com/molecule.php?qn=228,Muscarinic acetylcholine receptor M3,16,51
MOL000228,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,https://tcmsp-e.com/molecule.php?qn=228,Muscarinic acetylcholine receptor M1,38,103
MOL000228,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,https://tcmsp-e.com/molecule.php?qn=228,Estrogen receptor,46,136
MOL000228,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,https://tcmsp-e.com/molecule.php?qn=228,Sodium channel protein type 5 subunit alpha,70,220
MOL000228,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,https://tcmsp-e.com/molecule.php?qn=228,Prostaglandin G/H synthase 2,94,290
MOL000228,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,https://tcmsp-e.com/molecule.php?qn=228,Retinoic acid receptor RXR-alpha,158,459
MOL000228,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,https://tcmsp-e.com/molecule.php?qn=228,"CGMP-inhibited 3',5'-cyclic phosphodiesterase A",172,485
MOL000228,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,https://tcmsp-e.com/molecule.php?qn=228,Alpha-1A adrenergic receptor,191,556
MOL000228,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,https://tcmsp-e.com/molecule.php?qn=228,Alpha-1B adrenergic receptor,216,632
MOL000228,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,https://tcmsp-e.com/molecule.php?qn=228,Sodium-dependent dopamine transporter,239,713
MOL000228,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,https://tcmsp-e.com/molecule.php?qn=228,Beta-2 adrenergic receptor,261,766
MOL000228,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,https://tcmsp-e.com/molecule.php?qn=228,Sodium-dependent serotonin transporter,290,824
MOL000228,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,https://tcmsp-e.com/molecule.php?qn=228,Gamma-aminobutyric acid receptor subunit alpha-1,309,872
MOL000228,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,https://tcmsp-e.com/molecule.php?qn=228,Heat shock protein HSP 90,444,1939
MOL000228,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,https://tcmsp-e.com/molecule.php?qn=228,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404
MOL000228,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,https://tcmsp-e.com/molecule.php?qn=228,mRNA of PKA Catalytic Subunit C-alpha,699,6263
MOL000228,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,https://tcmsp-e.com/molecule.php?qn=228,cAMP-dependent protein kinase inhibitor alpha,3586,6264
MOL000228,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,https://tcmsp-e.com/molecule.php?qn=228,"Neuronal acetylcholine receptor protein, alpha-7 chain",581,4095
MOL000228,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,https://tcmsp-e.com/molecule.php?qn=228,Amine oxidase [flavin-containing] B,565,3939
MOL000228,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,https://tcmsp-e.com/molecule.php?qn=228,Calmodulin,3907,465
MOL000024,alpha-humulene,https://tcmsp-e.com/molecule.php?qn=24,Prostaglandin G/H synthase 2,94,290
MOL000024,alpha-humulene,https://tcmsp-e.com/molecule.php?qn=24,Sodium-dependent noradrenaline transporter,186,540
MOL000024,alpha-humulene,https://tcmsp-e.com/molecule.php?qn=24,Gamma-aminobutyric acid receptor subunit alpha-1,309,872
MOL000024,alpha-humulene,https://tcmsp-e.com/molecule.php?qn=24,Nuclear receptor coactivator 2,3276,6241
MOL000024,alpha-humulene,https://tcmsp-e.com/molecule.php?qn=24,"Renin, renal",99,298
MOL000024,alpha-humulene,https://tcmsp-e.com/molecule.php?qn=24,Alcohol dehydrogenase 1B,726,444
MOL000024,alpha-humulene,https://tcmsp-e.com/molecule.php?qn=24,Alcohol dehydrogenase 1C,727,517
MOL000024,alpha-humulene,https://tcmsp-e.com/molecule.php?qn=24,Tumor necrosis factor,265,777
MOL000024,alpha-humulene,https://tcmsp-e.com/molecule.php?qn=24,Interleukin-1 beta,418,1654
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Prostaglandin G/H synthase 1,6,20
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Dopamine D1 receptor,7,23
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Muscarinic acetylcholine receptor M3,16,51
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Muscarinic acetylcholine receptor M1,38,103
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Beta-1 adrenergic receptor,63,193
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Prostaglandin G/H synthase 2,94,290
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,"Nitric-oxide synthase, endothelial",95,291
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Alpha-2A adrenergic receptor,105,318
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Alpha-2C adrenergic receptor,126,378
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Sodium-dependent noradrenaline transporter,186,540
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Alpha-1A adrenergic receptor,191,556
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Muscarinic acetylcholine receptor M2,210,617
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Alpha-1B adrenergic receptor,216,632
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Sodium-dependent dopamine transporter,239,713
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Beta-2 adrenergic receptor,261,766
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Beta-lactamase,499,2478
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Amine oxidase [flavin-containing] B,565,3939
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Amine oxidase [flavin-containing] A,566,3941
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Lysozyme,1172,2300
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Chymotrypsinogen B,1696,6011
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Alpha-1D adrenergic receptor,272,789
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Leukotriene A-4 hydrolase,521,3060
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Alpha-2B adrenergic receptor,214,629
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Urokinase-type plasminogen activator,346,1074
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Thermolysin,1179,6285
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Sodium channel protein type 5 subunit alpha,70,220
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Transcription factor p65,4565,N/A
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Cytochrome P450 1A1,4149,N/A
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Cytochrome P450 1B1,4150,N/A
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Arachidonate 5-lipoxygenase,88,275
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Aryl hydrocarbon receptor,3204,6220
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Canalicular multispecific organic anion transporter 1,4079,N/A
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,T-lymphocyte activation antigen CD86,325,942
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform,3971,6746
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Pepsin A,2877,6231
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Mucin-1,4368,N/A
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Quinone oxidoreductase,3779,2159
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Calcium-transporting ATPase type 2C member 1,3610,241
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Short transient receptor potential channel 3,4523,N/A
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Transient receptor potential cation channel subfamily V member 3,651,5838
MOL000254,eugenol,https://tcmsp-e.com/molecule.php?qn=254,Ecto-NOX disulfide-thiol exchanger 2,4182,N/A
MOL002560,chrysin,https://tcmsp-e.com/molecule.php?qn=2560,Prostaglandin G/H synthase 1,6,20
MOL002560,chrysin,https://tcmsp-e.com/molecule.php?qn=2560,Androgen receptor,48,146
MOL002560,chrysin,https://tcmsp-e.com/molecule.php?qn=2560,Prostaglandin G/H synthase 2,94,290
MOL002560,chrysin,https://tcmsp-e.com/molecule.php?qn=2560,"CGMP-inhibited 3',5'-cyclic phosphodiesterase A",172,485
MOL002560,chrysin,https://tcmsp-e.com/molecule.php?qn=2560,Sodium-dependent serotonin transporter,290,824
MOL002560,chrysin,https://tcmsp-e.com/molecule.php?qn=2560,Gamma-aminobutyric acid receptor subunit alpha-1,309,872
MOL002560,chrysin,https://tcmsp-e.com/molecule.php?qn=2560,Dipeptidyl peptidase IV,332,952
MOL002560,chrysin,https://tcmsp-e.com/molecule.php?qn=2560,Heat shock protein HSP 90,444,1939
MOL002560,chrysin,https://tcmsp-e.com/molecule.php?qn=2560,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404
MOL002560,chrysin,https://tcmsp-e.com/molecule.php?qn=2560,Amine oxidase [flavin-containing] B,565,3939
MOL002560,chrysin,https://tcmsp-e.com/molecule.php?qn=2560,mRNA of PKA Catalytic Subunit C-alpha,699,6263
MOL002560,chrysin,https://tcmsp-e.com/molecule.php?qn=2560,cAMP-dependent protein kinase inhibitor alpha,3586,6264
MOL002560,chrysin,https://tcmsp-e.com/molecule.php?qn=2560,Thrombin,17,54
MOL002560,chrysin,https://tcmsp-e.com/molecule.php?qn=2560,Cyclin-dependent kinase inhibitor 1,4141,N/A
MOL002560,chrysin,https://tcmsp-e.com/molecule.php?qn=2560,Transforming growth factor beta-1,4568,N/A
MOL002560,chrysin,https://tcmsp-e.com/molecule.php?qn=2560,Interleukin-4,4301,N/A
MOL002560,chrysin,https://tcmsp-e.com/molecule.php?qn=2560,Cytochrome P450 19A1,4148,N/A
MOL002560,chrysin,https://tcmsp-e.com/molecule.php?qn=2560,Interleukin-13,4293,N/A
MOL002560,chrysin,https://tcmsp-e.com/molecule.php?qn=2560,High affinity immunoglobulin epsilon receptor subunit beta,784,3862
