Herb,Ingredient Name,PubChem ID,Gene ID,Gene Name,Score
황금,sitosterol,12303645,8856,NR1I2,0.89
황금,sitosterol,12303645,2561,GABRB2,0.89
황금,sitosterol,12303645,2565,GABRG1,0.89
황금,sitosterol,12303645,2566,GABRG2,0.89
황금,sitosterol,12303645,116443,GRIN3A,0.89
황금,sitosterol,12303645,2568,GABRP,0.89
황금,sitosterol,12303645,2558,GABRA5,0.89
황금,sitosterol,12303645,2903,GRIN2A,0.89
황금,"5,7,2,5-tetrahydroxy-8,6-dimethoxyflavone",44258628,,,
황금,Skullcapflavone II,124211,,,
치자,Supraene,638072,3949,LDLR,known target in HIT
치자,Supraene,638072,5465,PPARA,known target in HIT
치자,Supraene,638072,3747,KCNC2,0.84
치자,Supraene,638072,125,ADH1B,0.84
치자,Supraene,638072,3736,KCNA1,0.84
치자,Supraene,638072,3743,KCNA7,0.84
치자,Supraene,638072,3741,KCNA5,0.84
치자,Supraene,638072,3752,KCND3,0.84
치자,Supraene,638072,3739,KCNA4,0.84
치자,Supraene,638072,2819,GPD1,0.84
치자,Supraene,638072,3738,KCNA3,0.84
치자,Supraene,638072,124,ADH1A,0.84
치자,Supraene,638072,126,ADH1C,0.84
치자,Supraene,638072,847,CAT,0.84
치자,Supraene,638072,3750,KCND1,0.84
치자,Supraene,638072,3748,KCNC3,0.84
치자,Supraene,638072,5564,PRKAB1,0.84
치자,Supraene,638072,7173,TPO,0.84
치자,Supraene,638072,3744,KCNA10,0.84
치자,Supraene,638072,3751,KCND2,0.84
치자,Supraene,638072,9312,KCNB2,0.84
치자,Supraene,638072,6035,RNASE1,0.84
황금,Diop,33934,10368,CACNG3,0.84
황금,Diop,33934,9254,CACNA2D2,0.84
황금,Diop,33934,8912,CACNA1H,0.84
황금,Diop,33934,8678,BECN1,0.84
황금,Diop,33934,785,CACNB4,0.84
황금,Diop,33934,55799,CACNA2D3,0.84
황금,Diop,33934,775,CACNA1C,0.84
황금,Diop,33934,59284,CACNG7,0.84
황금,Diop,33934,779,CACNA1S,0.84
황금,Diop,33934,3294,HSD17B2,0.84
황금,Diop,33934,93589,CACNA2D4,0.84
황금,Diop,33934,6336,SCN10A,0.84
황금,Diop,33934,27091,CACNG5,0.84
황금,Diop,33934,3767,KCNJ11,0.84
황금,Diop,33934,8856,NR1I2,0.84
황금,Diop,33934,3770,KCNJ14,0.84
황금,Diop,33934,59283,CACNG8,0.84
황금,Diop,33934,590,BCHE,0.84
황금,Diop,33934,783,CACNB2,0.84
황금,Diop,33934,776,CACNA1D,0.84
황금,rivularin,13889022,,,
황금,"5,2'-Dihydroxy-6,7,8-trimethoxyflavone",159029,,,
황금,"bis[(2S)-2-ethylhexyl] benzene-1,2-dicarboxylate",7057920,,,
황금,Salvigenin,161271,1545,CYP1B1,0.8
황금,Salvigenin,161271,2103,ESRRB,0.8
황금,Salvigenin,161271,2101,ESRRA,0.8
황금,"5,2',6'-Trihydroxy-7,8-dimethoxyflavone",5322059,,,
황금,Panicolin,5320399,,,
황금,"5,7,4'-trihydroxy-6-methoxyflavanone",26213330,,,
황금,4'-hydroxywogonin,5322078,1545,CYP1B1,0.8
황금,4'-hydroxywogonin,5322078,2103,ESRRB,0.8
황금,4'-hydroxywogonin,5322078,2101,ESRRA,0.8
황금,"5,8,2'-Trihydroxy-7-methoxyflavone",156992,1545,CYP1B1,0.8
황금,"5,8,2'-Trihydroxy-7-methoxyflavone",156992,2103,ESRRB,0.8
황금,"5,8,2'-Trihydroxy-7-methoxyflavone",156992,2101,ESRRA,0.8
황금,"5-hydroxy-7,8-dimethoxyflavone",188316,1545,CYP1B1,0.8
황금,"5-hydroxy-7,8-dimethoxyflavone",188316,2103,ESRRB,0.8
황금,"5-hydroxy-7,8-dimethoxyflavone",188316,2101,ESRRA,0.8
황금,"5,7,2',6'-Tetrahydroxyflavone",5321865,3690,ITGB3,0.84
황금,"5,7,2',6'-Tetrahydroxyflavone",5321865,4891,SLC11A2,0.84
황금,"5,7,2',6'-Tetrahydroxyflavone",5321865,93380,MMGT1,0.82
황금,"5,7,2',6'-Tetrahydroxyflavone",5321865,101,ADAM8,0.82
황금,"5,7,2',6'-Tetrahydroxyflavone",5321865,1545,CYP1B1,0.8
황금,"5,7,2',6'-Tetrahydroxyflavone",5321865,2103,ESRRB,0.8
황금,"5,7,2',6'-Tetrahydroxyflavone",5321865,2101,ESRRA,0.8
황금,Eriodyctiol (flavanone),373261,1269,CNR2,0.8
황금,Eriodyctiol (flavanone),373261,1268,CNR1,0.8
황금,Eriodyctiol (flavanone),373261,9212,AURKB,0.8
황금,ent-Epicatechin,182232,5515,PPP2CA,0.8
황금,ent-Epicatechin,182232,240,ALOX5,0.8
황금,ent-Epicatechin,182232,1269,CNR2,0.8
황금,ent-Epicatechin,182232,5579,PRKCB,0.8
황금,ent-Epicatechin,182232,284904,SEC14L4,0.8
황금,ent-Epicatechin,182232,5516,PPP2CB,0.8
황금,ent-Epicatechin,182232,1606,DGKA,0.8
황금,ent-Epicatechin,182232,1268,CNR1,0.8
황금,ent-Epicatechin,182232,9212,AURKB,0.8
황금,ent-Epicatechin,182232,5578,PRKCA,0.8
황금,ent-Epicatechin,182232,8856,NR1I2,0.8
황금,ent-Epicatechin,182232,266629,SEC14L3,0.8
황금,ent-Epicatechin,182232,23541,SEC14L2,0.8
황금,acacetin,5280442,1588,CYP19A1,known target in HIT
황금,acacetin,5280442,836,CASP3,known target in HIT
황금,acacetin,5280442,7157,TP53,known target in HIT
황금,acacetin,5280442,1026,CDKN1A,known target in HIT
황금,acacetin,5280442,1543,CYP1A1,known target in HIT
황금,acacetin,5280442,1499,CTNNB1,known target in HIT
황금,acacetin,5280442,4790,NFKB1,known target in HIT
황금,acacetin,5280442,841,CASP8,known target in HIT
황금,acacetin,5280442,5970,RELA,known target in HIT
황금,acacetin,5280442,207,AKT1,known target in HIT
황금,acacetin,5280442,3741,KCNA5,known target in HERB
황금,acacetin,5280442,8797,TNFRSF10A,known target in HIT
황금,acacetin,5280442,5743,PTGS2,known target in HIT
황금,acacetin,5280442,54658,UGT1A1,known target in HIT
황금,acacetin,5280442,3350,HTR1A,known target in HERB
황금,acacetin,5280442,4609,MYC,known target in HIT
황금,acacetin,5280442,581,BAX,known target in HIT
황금,acacetin,5280442,596,BCL2,known target in HIT
황금,acacetin,5280442,2194,FASN,known target in HIT
황금,acacetin,5280442,4792,NFKBIA,known target in HIT
황금,acacetin,5280442,356,FASLG,known target in HIT
황금,acacetin,5280442,5916,RARG,known target in HIT
황금,acacetin,5280442,4843,NOS2,known target in HIT
황금,acacetin,5280442,1545,CYP1B1,0.8
황금,acacetin,5280442,2103,ESRRB,0.8
황금,acacetin,5280442,2101,ESRRA,0.8
황금,oroxylin a,5320315,836,CASP3,known target in HIT
황금,oroxylin a,5320315,1559,CYP2C9,known target in HIT
황금,oroxylin a,5320315,2565,GABRG1,known target in HIT
황금,oroxylin a,5320315,891,CCNB1,known target in HIT
황금,oroxylin a,5320315,890,CCNA2,known target in HIT
황금,oroxylin a,5320315,1499,CTNNB1,known target in HIT
황금,oroxylin a,5320315,57103,TIGAR,known target in HIT
황금,oroxylin a,5320315,596,BCL2,known target in HIT
황금,oroxylin a,5320315,7077,TIMP2,known target in HIT
황금,oroxylin a,5320315,5468,PPARG,known target in text mining
황금,oroxylin a,5320315,1022,CDK7,known target in HIT
황금,oroxylin a,5320315,23410,SIRT3,known target in HIT
황금,oroxylin a,5320315,983,CDK1,known target in HIT
황금,oroxylin a,5320315,1544,CYP1A2,known target in HIT
황금,oroxylin a,5320315,3569,IL6,known target in HIT
황금,oroxylin a,5320315,5243,ABCB1,known target in HIT
황금,oroxylin a,5320315,1545,CYP1B1,0.8
황금,oroxylin a,5320315,2103,ESRRB,0.8
황금,oroxylin a,5320315,2101,ESRRA,0.8
황금,DIHYDROOROXYLIN,25721350,,,
황금,wogonin,5281703,836,CASP3,"known target in HIT,HERB"
황금,wogonin,5281703,6347,CCL2,known target in HIT
황금,wogonin,5281703,3791,KDR,known target in HIT
황금,wogonin,5281703,6513,SLC2A1,known target in HERB
황금,wogonin,5281703,7157,TP53,"known target in HIT,HERB"
황금,wogonin,5281703,1147,CHUK,known target in HERB
황금,wogonin,5281703,1026,CDKN1A,known target in HIT
황금,wogonin,5281703,3553,IL1B,known target in HERB
황금,wogonin,5281703,4586,MUC5AC,known target in HIT
황금,wogonin,5281703,2152,F3,known target in HIT
황금,wogonin,5281703,595,CCND1,known target in HIT
황금,wogonin,5281703,10344,CCL26,known target in HIT
황금,wogonin,5281703,4193,MDM2,known target in HERB
황금,wogonin,5281703,1499,CTNNB1,known target in HIT
황금,wogonin,5281703,1280,COL2A1,known target in HERB
황금,wogonin,5281703,3551,IKBKB,known target in HERB
황금,wogonin,5281703,4790,NFKB1,"known target in HIT,HERB"
황금,wogonin,5281703,1027,CDKN1B,known target in HIT
황금,wogonin,5281703,4322,MMP13,"known target in HIT,HERB"
황금,wogonin,5281703,5970,RELA,known target in HIT
황금,wogonin,5281703,142,PARP1,known target in HERB
황금,wogonin,5281703,207,AKT1,known target in HIT
황금,wogonin,5281703,1019,CDK4,known target in HIT
황금,wogonin,5281703,842,CASP9,known target in HERB
황금,wogonin,5281703,4312,MMP1,known target in HIT
황금,wogonin,5281703,4170,MCL1,"known target in HIT,HERB"
황금,wogonin,5281703,7422,VEGFA,known target in HIT
황금,wogonin,5281703,5743,PTGS2,"known target in HIT,HERB"
황금,wogonin,5281703,4314,MMP3,known target in HERB
황금,wogonin,5281703,1544,CYP1A2,known target in HIT
황금,wogonin,5281703,3576,CXCL8,known target in HIT
황금,wogonin,5281703,2081,ERN1,known target in HIT
황금,wogonin,5281703,2932,GSK3B,known target in HIT
황금,wogonin,5281703,27113,BBC3,known target in HIT
황금,wogonin,5281703,5594,MAPK1,known target in HIT
황금,wogonin,5281703,4318,MMP9,"known target in HIT,HERB"
황금,wogonin,5281703,2335,FN1,known target in HIT
황금,wogonin,5281703,7186,TRAF2,known target in HIT
황금,wogonin,5281703,23327,NEDD4L,known target in HIT
황금,wogonin,5281703,8837,CFLAR,known target in HIT
황금,wogonin,5281703,3725,JUN,known target in HIT
황금,wogonin,5281703,5925,RB1,known target in HERB
황금,wogonin,5281703,6696,SPP1,known target in HIT
황금,wogonin,5281703,57103,TIGAR,known target in HERB
황금,wogonin,5281703,5580,PRKCD,known target in HIT
황금,wogonin,5281703,581,BAX,"known target in HIT,HERB"
황금,wogonin,5281703,5600,MAPK11,known target in HIT
황금,wogonin,5281703,5742,PTGS1,known target in HIT
황금,wogonin,5281703,596,BCL2,"known target in HIT,HERB"
황금,wogonin,5281703,9370,ADIPOQ,known target in HERB
황금,wogonin,5281703,7124,TNF,"known target in HIT,HERB"
황금,wogonin,5281703,9507,ADAMTS4,known target in HERB
황금,wogonin,5281703,5465,PPARA,known target in HERB
황금,wogonin,5281703,1956,EGFR,known target in HIT
황금,wogonin,5281703,7133,TNFRSF1B,known target in HERB
황금,wogonin,5281703,9817,KEAP1,known target in HERB
황금,wogonin,5281703,3091,HIF1A,known target in HIT
황금,wogonin,5281703,1557,CYP2C19,known target in HIT
황금,wogonin,5281703,3569,IL6,"known target in HIT,HERB"
황금,wogonin,5281703,1025,CDK9,known target in HIT
황금,wogonin,5281703,4843,NOS2,"known target in HIT,HERB"
황금,wogonin,5281703,4780,NFE2L2,known target in HERB
황금,wogonin,5281703,1545,CYP1B1,0.8
황금,wogonin,5281703,2103,ESRRB,0.8
황금,wogonin,5281703,2101,ESRRA,0.8
황금,"11,13-Eicosadienoic acid, methyl ester",5365674,5970,RELA,0.84
황금,"11,13-Eicosadienoic acid, methyl ester",5365674,9817,KEAP1,0.84
황금,"11,13-Eicosadienoic acid, methyl ester",5365674,5375,PMP2,0.8
황금,"11,13-Eicosadienoic acid, methyl ester",5365674,6256,RXRA,0.8
황금,"11,13-Eicosadienoic acid, methyl ester",5365674,5732,PTGER2,0.8
황금,"11,13-Eicosadienoic acid, methyl ester",5365674,5733,PTGER3,0.8
황금,"11,13-Eicosadienoic acid, methyl ester",5365674,5241,PGR,0.8
황금,"11,13-Eicosadienoic acid, methyl ester",5365674,3992,FADS1,0.8
황금,"11,13-Eicosadienoic acid, methyl ester",5365674,60481,ELOVL5,0.8
황금,"11,13-Eicosadienoic acid, methyl ester",5365674,9415,FADS2,0.8
황금,"11,13-Eicosadienoic acid, methyl ester",5365674,2908,NR3C1,0.8
황금,"11,13-Eicosadienoic acid, methyl ester",5365674,5468,PPARG,0.8
황금,"11,13-Eicosadienoic acid, methyl ester",5365674,9971,NR1H4,0.8
황금,"11,13-Eicosadienoic acid, methyl ester",5365674,5465,PPARA,0.8
황금,"11,13-Eicosadienoic acid, methyl ester",5365674,5734,PTGER4,0.8
황금,"11,13-Eicosadienoic acid, methyl ester",5365674,2161,F12,0.8
황금,"11,13-Eicosadienoic acid, methyl ester",5365674,6546,SLC8A1,0.8
황금,"11,13-Eicosadienoic acid, methyl ester",5365674,5467,PPARD,0.8
황금,"11,13-Eicosadienoic acid, methyl ester",5365674,7442,TRPV1,0.8
황금,"11,13-Eicosadienoic acid, methyl ester",5365674,54898,ELOVL2,0.8
황금,baicalein,5281605,2548,GAA,known target in HIT
황금,baicalein,5281605,836,CASP3,known target in HIT
황금,baicalein,5281605,2475,MTOR,known target in HIT
황금,baicalein,5281605,7157,TP53,known target in HIT
황금,baicalein,5281605,7299,TYR,known target in HIT
황금,baicalein,5281605,79400,NOX5,known target in HIT
황금,baicalein,5281605,2355,FOSL2,known target in HIT
황금,baicalein,5281605,891,CCNB1,known target in HIT
황금,baicalein,5281605,2322,FLT3,known target in text mining
황금,baicalein,5281605,1432,MAPK14,known target in text mining
황금,baicalein,5281605,3553,IL1B,known target in HERB
황금,baicalein,5281605,3162,HMOX1,"known target in HIT,HERB"
황금,baicalein,5281605,4353,MPO,known target in HIT
황금,baicalein,5281605,246,ALOX15,known target in HIT
황금,baicalein,5281605,999,CDH1,known target in HERB
황금,baicalein,5281605,4790,NFKB1,known target in HERB
황금,baicalein,5281605,1312,COMT,known target in HIT
황금,baicalein,5281605,5293,PIK3CD,known target in HIT
황금,baicalein,5281605,4129,MAOB,known target in HIT
황금,baicalein,5281605,5970,RELA,known target in HIT
황금,baicalein,5281605,207,AKT1,known target in HIT
황금,baicalein,5281605,347,APOD,known target in HIT
황금,baicalein,5281605,7431,VIM,known target in HERB
황금,baicalein,5281605,2171,FABP5,known target in HIT
황금,baicalein,5281605,857,CAV1,known target in HIT
황금,baicalein,5281605,7422,VEGFA,known target in HIT
황금,baicalein,5281605,4772,NFATC1,known target in HIT
황금,baicalein,5281605,983,CDK1,known target in HIT
황금,baicalein,5281605,1525,CXADR,known target in HIT
황금,baicalein,5281605,5743,PTGS2,known target in HIT
황금,baicalein,5281605,23643,LY96,known target in HIT
황금,baicalein,5281605,5594,MAPK1,"known target in HIT,HERB"
황금,baicalein,5281605,8061,FOSL1,known target in HIT
황금,baicalein,5281605,23373,CRTC1,known target in HIT
황금,baicalein,5281605,54658,UGT1A1,known target in text mining
황금,baicalein,5281605,5563,PRKAA2,known target in HERB
황금,baicalein,5281605,4318,MMP9,known target in HIT
황금,baicalein,5281605,2335,FN1,known target in HERB
황금,baicalein,5281605,7082,TJP1,known target in HERB
황금,baicalein,5281605,54205,CYCS,known target in HIT
황금,baicalein,5281605,7046,TGFBR1,known target in HIT
황금,baicalein,5281605,2309,FOXO3,known target in HERB
황금,baicalein,5281605,6714,SRC,known target in HIT
황금,baicalein,5281605,824,CAPN2,known target in HERB
황금,baicalein,5281605,3725,JUN,known target in HIT
황금,baicalein,5281605,4313,MMP2,known target in HIT
황금,baicalein,5281605,581,BAX,known target in HIT
황금,baicalein,5281605,596,BCL2,known target in HIT
황금,baicalein,5281605,7124,TNF,known target in HERB
황금,baicalein,5281605,5609,MAP2K7,known target in HERB
황금,baicalein,5281605,239,ALOX12,known target in HIT
황금,baicalein,5281605,2990,GUSB,known target in HIT
황금,baicalein,5281605,6615,SNAI1,known target in HERB
황금,baicalein,5281605,864,RUNX3,known target in HERB
황금,baicalein,5281605,2353,FOS,known target in HIT
황금,baicalein,5281605,5291,PIK3CB,known target in HIT
황금,baicalein,5281605,1576,CYP3A4,known target in HIT
황금,baicalein,5281605,1956,EGFR,known target in HIT
황금,baicalein,5281605,5595,MAPK3,known target in HERB
황금,baicalein,5281605,3091,HIF1A,known target in HIT
황금,baicalein,5281605,5243,ABCB1,known target in HIT
황금,baicalein,5281605,367,AR,known target in HIT
황금,baicalein,5281605,9970,NR1I3,known target in HIT
황금,baicalein,5281605,2099,ESR1,known target in HIT
황금,baicalein,5281605,5294,PIK3CG,known target in HIT
황금,baicalein,5281605,4843,NOS2,known target in HIT
황금,baicalein,5281605,196,AHR,known target in HIT
황금,baicalein,5281605,3481,IGF2,known target in HIT
황금,baicalein,5281605,4780,NFE2L2,"known target in HIT,HERB"
황금,baicalein,5281605,54583,EGLN1,known target in HIT
황금,baicalein,5281605,1545,CYP1B1,0.8
황금,baicalein,5281605,2103,ESRRB,0.8
황금,baicalein,5281605,2101,ESRRA,0.8
황금,Norwogonin,5281674,2103,ESRRB,0.8
황금,Norwogonin,5281674,2101,ESRRA,0.8
황금,Norwogonin,5281674,1545,CYP1B1,0.8
황금,Dihydrobaicalin_qt,14135323,1269,CNR2,0.8
황금,Dihydrobaicalin_qt,14135323,1268,CNR1,0.8
황금,Dihydrobaicalin_qt,14135323,9212,AURKB,0.8
황금,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,821279,5468,PPARG,known target in HIT
황금,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,821279,4780,NFE2L2,known target in HIT
황금,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,821279,1268,CNR1,0.84
황금,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,821279,1269,CNR2,0.84
황금,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,821279,9212,AURKB,0.8
황금,"5,7-dihydroxy-6,8,2',3'-tetramethoxyflavone",5316833,,,
치자,Clorius,7150,1610,DAO,0.89
치자,Clorius,7150,6564,SLC15A1,0.89
치자,Clorius,7150,10368,CACNG3,0.84
치자,Clorius,7150,9254,CACNA2D2,0.84
치자,Clorius,7150,8912,CACNA1H,0.84
치자,Clorius,7150,8678,BECN1,0.84
치자,Clorius,7150,785,CACNB4,0.84
치자,Clorius,7150,55799,CACNA2D3,0.84
치자,Clorius,7150,775,CACNA1C,0.84
치자,Clorius,7150,59284,CACNG7,0.84
치자,Clorius,7150,779,CACNA1S,0.84
치자,Clorius,7150,3294,HSD17B2,0.84
치자,Clorius,7150,93589,CACNA2D4,0.84
치자,Clorius,7150,6336,SCN10A,0.84
치자,Clorius,7150,27091,CACNG5,0.84
치자,Clorius,7150,3767,KCNJ11,0.84
치자,Clorius,7150,8856,NR1I2,0.84
치자,Clorius,7150,3770,KCNJ14,0.84
치자,Clorius,7150,59283,CACNG8,0.84
치자,Clorius,7150,590,BCHE,0.84
지황,salidroside,159278,5564,PRKAB1,known target in HERB
지황,salidroside,159278,2475,MTOR,known target in HERB
지황,salidroside,159278,598,BCL2L1,known target in HERB
지황,salidroside,159278,3162,HMOX1,known target in HERB
지황,salidroside,159278,4790,NFKB1,known target in HERB
지황,salidroside,159278,5290,PIK3CA,known target in HERB
지황,salidroside,159278,2538,G6PC,known target in HERB
지황,salidroside,159278,5293,PIK3CD,known target in HERB
지황,salidroside,159278,4233,MET,known target in HERB
지황,salidroside,159278,5970,RELA,known target in HERB
지황,salidroside,159278,23411,SIRT1,known target in HERB
지황,salidroside,159278,142,PARP1,known target in HERB
지황,salidroside,159278,207,AKT1,known target in HERB
지황,salidroside,159278,842,CASP9,known target in HERB
지황,salidroside,159278,7422,VEGFA,known target in HERB
지황,salidroside,159278,2932,GSK3B,known target in HERB
지황,salidroside,159278,3082,HGF,known target in HERB
지황,salidroside,159278,4624,MYH6,known target in HERB
지황,salidroside,159278,5594,MAPK1,known target in HERB
지황,salidroside,159278,4137,MAPT,known target in HERB
지황,salidroside,159278,5563,PRKAA2,known target in HERB
지황,salidroside,159278,4318,MMP9,known target in HIT
지황,salidroside,159278,8850,KAT2B,known target in HERB
지황,salidroside,159278,5562,PRKAA1,known target in HERB
지황,salidroside,159278,54205,CYCS,known target in HERB
지황,salidroside,159278,4313,MMP2,known target in HIT
지황,salidroside,159278,5105,PCK1,known target in HERB
지황,salidroside,159278,135,ADORA2A,known target in HERB
지황,salidroside,159278,581,BAX,"known target in HIT,HERB"
지황,salidroside,159278,596,BCL2,"known target in HIT,HERB"
지황,salidroside,159278,7124,TNF,known target in HERB
지황,salidroside,159278,2247,FGF2,known target in HERB
지황,salidroside,159278,5291,PIK3CB,known target in HERB
지황,salidroside,159278,5595,MAPK3,known target in HERB
지황,salidroside,159278,3091,HIF1A,known target in HERB
지황,salidroside,159278,3569,IL6,known target in HERB
지황,salidroside,159278,192111,PGAM5,known target in HERB
지황,salidroside,159278,5294,PIK3CG,known target in HERB
지황,salidroside,159278,1649,DDIT3,known target in HERB
지황,salidroside,159278,2548,GAA,0.84
지황,salidroside,159278,7299,TYR,0.84
지황,salidroside,159278,4935,GPR143,0.82
지황,salidroside,159278,7306,TYRP1,0.82
지황,salidroside,159278,7134,TNNC1,0.82
지황,salidroside,159278,7036,TFR2,0.8
지황,salidroside,159278,360203,GLT6D1,0.8
지황,salidroside,159278,3040,HBA2,0.8
지황,salidroside,159278,3958,LGALS3,0.8
지황,salidroside,159278,7037,TFRC,0.8
지황,salidroside,159278,3039,HBA1,0.8
지황,salidroside,159278,51228,GLTP,0.8
지황,salidroside,159278,2720,GLB1,0.8
황금,PEL,6054,581,BAX,known target in HIT
황금,PEL,6054,6774,STAT3,known target in HIT
황금,PEL,6054,5465,PPARA,known target in HIT
황금,PEL,6054,5004,ORM1,0.84
황금,PEL,6054,5005,ORM2,0.84
황금,PEL,6054,1827,RCAN1,0.84
황금,PEL,6054,100,ADA,0.84
황금,PEL,6054,10846,PDE10A,0.84
황금,PEL,6054,5141,PDE4A,0.84
황금,PEL,6054,8654,PDE5A,0.84
황금,PEL,6054,5139,PDE3A,0.82
황금,PEL,6054,3251,HPRT1,0.82
황금,PEL,6054,10673,TNFSF13B,0.82
황금,PEL,6054,134,ADORA1,0.82
황금,PEL,6054,25939,SAMHD1,0.82
황금,PEL,6054,7498,XDH,0.82
황금,PEL,6054,5327,PLAT,0.8
황금,PEL,6054,2811,GP1BA,0.8
황금,PEL,6054,2169,FABP2,0.8
황금,PEL,6054,5468,PPARG,0.8
황금,PEL,6054,5743,PTGS2,0.8
황금,PEL,6054,7056,THBD,0.8
황금,PEL,6054,6564,SLC15A1,0.8
황금,Methyl (Z)-cinnamate,6428458,778,CACNA1F,0.84
황금,Methyl (Z)-cinnamate,6428458,785,CACNB4,0.84
황금,Methyl (Z)-cinnamate,6428458,55879,GABRQ,0.84
황금,Methyl (Z)-cinnamate,6428458,775,CACNA1C,0.84
황금,Methyl (Z)-cinnamate,6428458,2556,GABRA3,0.84
황금,Methyl (Z)-cinnamate,6428458,779,CACNA1S,0.84
황금,Methyl (Z)-cinnamate,6428458,151,ADRA2B,0.84
황금,Methyl (Z)-cinnamate,6428458,2554,GABRA1,0.84
황금,Methyl (Z)-cinnamate,6428458,2562,GABRB3,0.84
황금,Methyl (Z)-cinnamate,6428458,2559,GABRA6,0.84
