Gene Name,UniProt ID
TREM2,Q9NZC2
BMP2,P12643
BAX,Q07812
NPM1,P06748
RBP4,P02753
CXCR3,P49682
RHOA,P61586
IL12B,P29460
IL37,Q9NZH6
E2F1,Q01094
FOXM1,Q08050
SLC2A1,P11166
HPSE,Q9Y251
IL2,P60568
RIPK1,Q13546
RUNX1,Q01196
LRP1,Q07954
CDC42,P60953
CASP1,P29466
TNFRSF1B,P20333
TREM1,Q9NP99
AXL,P30530
CYP2C9,P11712
PPARD,Q03181
TNFSF13B,Q9Y275
CDKN1B,P46527
ITGB2,P05107
FMR1,Q06787
SFTPD,P35247
KMT2A,Q03164
PNPLA3,Q9NST1
TWIST1,Q15672
APEX1,P27695
CNR2,P34972
LDLR,P01130
AHSG,P02765
ADM,P35318
FNDC5,Q8NAU1
HBA1,P69905
PSEN1,P49768
POU5F1,Q01860
CNR1,P21554
BMP4,P12644
EP300,Q09472
RARRES2,Q99969
AURKA,O14965
TET2,Q6N021
IL32,P24001
SCN5A,Q14524
HTR2A,P28223
CETP,P11597
MAD1L1,Q9Y6D9
TTR,P02766
HLA-C,P10321
TXNIP,Q9H3M7
CPS1,P31327
EIF2AK2,P19525
GZMB,P10144
NGF,P01138
TRPA1,O75762
VHL,P40337
ALDH2,P05091
LGALS9,O00182
EGF,P01133
F8,P00451
IL21,Q9HBE4
SOCS1,O15524
MAOA,P21397
CCL20,P78556
PROM1,O43490
HSPA5,P11021
FGFR1,P11362
IGFBP3,P17936
VEGFC,P49767
DNMT1,P26358
C5,P01031
LGALS1,P09382
GPER1,Q99527
IL12A,P29459
OGG1,O15527
HDAC2,Q92769
PGR,P06401
ZEB1,P37275
SHH,Q15465
SOX2,P48431
F7,P08709
TNNT2,P45379
IL7R,P16871
STK11,Q15831
IRF3,Q14653
HSPB1,P04792
SNAI1,O95863
FOS,P01100
FCGR2A,P12318
TNFSF12,O43508
ADORA2A,P29274
ABL1,P00519
FKBP5,Q13451
C9orf72,Q96LT7
PLK1,P53350
DEFB4A,O15263
ELAVL1,Q15717
METTL3,Q86U44
SHBG,P04278
CD47,Q08722
DICER1,Q9UPY3
CX3CR1,P49238
MCL1,Q07820
CCN2,P29279
PGF,P49763
ALOX15,P16050
B2M,P61769
SERPINF1,P36955
IL2RA,P01589
JAK1,P23458
EPAS1,Q99814
STIM1,Q13586
XIAP,P98170
FCGR3A,P08637
LTA,P01374
CDX2,Q99626
CYP2E1,P05181
NRG1,Q02297
NOD1,Q9Y239
NF1,P21359
IKBKB,O14920
IL1RL1,Q01638
BECN1,Q14457
CPB2,Q96IY4
TXN,P10599
ITGAM,P11215
FGF21,Q9NSA1
SMARCA4,P51532
BGLAP,P02818
PPARGC1B,Q86YN6
CGAS,Q8N884
HSPD1,P10809
MMP14,P50281
CYP1B1,Q16678
GATA3,P23771
NOX4,Q9NPH5
NOTCH3,Q9UM47
TNC,P24821
PLG,P00747
PTPN22,Q9Y2R2
ENG,P17813
PRKCD,Q05655
NR1H4,Q96RI1
CXCL16,Q9H2A7
SCGB1A1,P11684
AICDA,Q9GZX7
CEBPB,P17676
CASR,P41180
PINK1,Q9BXM7
PF4,P02776
SMAD7,O15105
HNF4A,P41235
ITGA5,P08648
ACKR2,O00590
IKBKG,Q9Y6K9
FBN1,P35555
RUNX2,Q13950
CXCL1,P09341
G6PD,P11413
HNF1A,P20823
XBP1,P17861
NQO1,P15559
YBX1,P67809
CALR,P27797
MICA,Q29983
PPIA,P62937
FUS,P35637
ETS1,P14921
HMGA2,P52926
HSPA1A,P0DMV8
OLR1,P78380
NTN1,O95631
APOA5,Q6Q788
NR1I2,O75469
MC1R,Q01726
ANXA2,P07355
IL6ST,P40189
AIM2,O14862
PECAM1,P16284
FPR2,P25090
ERN1,O75460
PRKDC,P78527
APOBEC3G,Q9HC16
SCARB1,Q8WTV0
IFIH1,Q9BYX4
KDM1A,O60341
ALOX5,P09917
THBD,P07204
CHRNA7,P36544
CYLD,Q9NQC7
SOX9,P48436
TAC1,P20366
FBXW7,Q969H0
TGFBR2,P37173
GPX1,P07203
CEACAM1,P13688
CEBPA,P49715
CTSB,P07858
MUC5AC,P98088
TIMP3,P35625
RIPK3,Q9Y572
SREBF1,P36956
JMJD1C,Q15652
CBS,P35520
S100A12,P80511
CSF2,P04141
CYBB,P04839
PIK3CG,P48736
PDGFRA,P16234
GH1,P01241
IAPP,P10997
DUSP1,P28562
CRYAB,P02511
APOC3,P02656
OSM,P13725
TNNI3,P19429
ANGPT1,Q15389
TGFBR1,P36897
YY1,P25490
KEAP1,Q14145
ORAI1,Q96D31
SIRT3,Q9NTG7
ADORA2A-AS1,P86434
IRF5,Q13568
ADA,P00813
ROCK1,Q13464
TFRC,P02786
ITGA2,P17301
PTPN6,P29350
STAT4,Q14765
KLRK1,P26718
PDGFRB,P09619
MUC16,Q8WXI7
PADI4,Q9UM07
MALT1,Q9UDY8
NR1H3,Q13133
IRAK1,P51617
PIN1,Q13526
TMPRSS2,O15393
AQP4,P55087
TBK1,Q9UHD2
ATF3,P18847
FASN,P49327
MYH9,P35579
YWHAZ,P63104
PAX6,P26367
IFI16,Q16666
RUNX3,Q13761
AFP,P02771
NR3C2,P08235
MTDH,Q86UE4
IL7,P13232
ARRB2,P32121
CYBA,P13498
SGK1,O00141
FYN,P06241
NGFR,P08138
TLR8,Q9NR97
STAT6,P42226
GGT1,P19440
C5AR1,P21730
MME,P08473
ATG16L1,Q676U5
FCGR1A,P12314
DAPK1,P53355
SOST,Q9BQB4
TLR5,O60602
PIEZO1,Q92508
PLA2G2A,P14555
FLNA,P21333
FABP4,P15090
IL4R,P24394
ALPL,P05186
STAT5A,P42229
ABCC1,P33527
PTPN1,P18031
INHBA,P08476
RPS6KB1,P23443
NPY,P01303
CD209,Q9NNX6
CACNA1C,Q13936
NCAM1,P13591
UCHL1,P09936
SPARC,P09486
TNFRSF10B,O14763
MCAM,P43121
POMC,P01189
GFAP,P14136
HDAC4,P56524
IL17F,Q96PD4
GAS6,Q14393
F13A1,P00488
LDHA,P00338
ABCA4,P78363
SAMHD1,Q9Y3Z3
PLAT,P00750
MITF,O75030
MAP2K1,Q02750
UCP2,P55851
WWTR1,Q9GZV5
APOL1,O14791
IFNB1,P01574
CD28,P10747
NR4A1,P22736
COL2A1,P02458
COL1A2,P08123
IL23R,Q5VWK5
PTPRC,P08575
ARID1A,O14497
ARG1,P05089
MAP3K7,O43318
IFNA1,P01562
TEK,Q02763
CHIT1,Q13231
ADAM10,O14672
PROCR,Q9UNN8
GSN,P06396
AGO2,Q9UKV8
ZAP70,P43403
CP,P00450
S100A4,P26447
TFPI,P10646
TF,P02787
PYCARD,Q9ULZ3
CCR7,P32248
ADRB3,P13945
ITGA2B,P08514
GCG,P01275
BCL6,P41182
CYP11B2,P19099
ENPP2,Q13822
NR4A2,P43354
NTRK1,P04629
ABCC2,Q92887
MEN1,O00255
IKZF1,Q13422
GATA4,P43694
KITLG,P21583
CHUK,O15111
HDAC6,Q9UBN7
BCR,P11274
PDE10A,Q9Y233
NFATC1,O95644
MMP8,P22894
RXRA,P19793
ITLN1,Q8WWA0
JAG1,P78504
HTRA1,Q92743
CDK9,P50750
NT5E,P21589
BTK,Q06187
SPHK1,Q9NYA1
PRMT5,O14744
TRIM21,P19474
NCL,P19338
UBE2I,P63279
APLN,Q9ULZ1
TOP1,P11387
ERBB4,Q15303
VCAN,P13611
CEACAM5,P06731
F11,P03951
IGFBP1,P08833
AKT2,P31751
TNFSF15,O95150
NTRK2,Q16620
CD38,P28907
CASP9,P55211
NFKB2,Q00653
ANGPTL4,Q9BY76
BST2,Q10589
IL1R1,P14778
CSF1,P09603
C4B,P0C0L5
KISS1,Q15726
SOD3,P08294
CLOCK,O15516
CCL3,P10147
NOTCH2,Q04721
MDK,P21741
ZEB2,O60315
OPTN,Q96CV9
PTK2B,Q14289
USP7,Q93009
HSD11B1,P28845
RNASE3,P12724
PTGS1,P23219
IL24,Q13007
EPHX1,P07099
CHGA,P10645
NEFL,P07196
ESM1,Q9NQ30
KPNA2,P52292
PDGFB,P01127
CXCL13,O43927
GJB1,P08034
WFDC2,Q14508
MYB,P10242
ATF4,P18848
CCL17,Q92583
PLA2G4A,P47712
FPR1,P21462
PDCD4,Q53EL6
BMP7,P18075
TGFB2,P61812
NCOA3,Q9Y6Q9
DEFB1,P60022
KLF2,Q9Y5W3
PRDX1,Q06830
PIM1,P11309
CCL18,P55774
CDH5,P33151
CDK5,Q00535
MAVS,Q7Z434
MSTN,O14793
PAPPA,Q13219
PANX1,Q96RD7
KNG1,P01042
PEBP1,P30086
PRKCE,Q02156
A2M,P01023
SELL,P14151
WWOX,Q9NZC7
MFN2,O95140
CLDN1,O95832
SERPING1,P05155
CD276,Q5ZPR3
CD74,P04233
LRP5,O75197
ST2,Q01638
PRF1,P14222
IGFBP2,P18065
HAVCR1,Q96D42
MAP3K5,Q99683
CTSS,P25774
ANXA5,P08758
PDPN,Q86YL7
RELN,P78509
ANGPTL8,Q6UXH0
BAK1,Q16611
PLCG1,P19174
CXCL5,P42830
IL25,Q9H293
KRT18,P05783
TACR1,P25103
SELPLG,Q14242
FURIN,P09958
MPL,P40238
PTBP1,P26599
ACKR3,P25106
CXCL9,Q07325
FADD,Q13158
PRTN3,P24158
SIRT2,Q8IXJ6
LIF,P15018
PRDX2,P32119
APOH,P02749
ANG,P03950
TNFRSF11A,Q9Y6Q6
SPINK1,P00995
PHB1,P35232
ID1,P41134
MRE11,P49959
ANGPTL2,Q9UKU9
P2RY12,Q9H244
NUCB2,P80303
PRMT1,Q99873
SERPINA3,P01011
S1PR1,P21453
BDKRB2,P30411
GDNF,P39905
GCH1,P30793
AQP3,Q92482
DCN,P07585
C1QBP,Q07021
IL5,P05113
MAP1LC3A,Q9H492
ITGA4,P13612
MUC5B,Q9HC84
MAP3K8,P41279
SFTPA1,Q8IWL2
FSCN1,Q16658
ISG15,P05161
TBP,P20226
UMOD,P07911
THRB,P10828
SLC19A1,P41440
ENO1,P06733
AGTR2,P50052
TRPM2,O94759
ERAP1,Q9NZ08
KLF6,Q99612
S100A7,P31151
IRF4,Q15306
GPX4,P36969
FLT4,P35916
TBX21,Q9UL17
PRKCZ,Q05513
PROS1,P07225
PXN,P49023
IL36G,Q9NZH8
FGF1,P05230
AIRE,O43918
TRPC6,Q9Y210
IL9,P15248
ITGB4,P16144
IL16,Q14005
CXCR1,P25024
CSF1R,P07333
PLCE1,Q9P212
SERPINA12,Q8IW75
FOXC1,Q12948
KAT5,Q92993
TFEB,P19484
CHRNA5,P30532
SLC9A1,P19634
LRRFIP1,Q32MZ4
SEMA3A,Q14563
FAP,Q12884
NOX1,Q9Y5S8
CRH,P06850
EPOR,P19235
COL18A1,P39060
DDB1,Q16531
LOX,P28300
ADAM33,Q9BZ11
IFNL1,Q8IU54
TRPM7,Q96QT4
CTNND1,O60716
FCGR2B,P31994
IRAK4,Q9NWZ3
TPH1,P17752
MAPK7,Q13164
ARRB1,P49407
PTPN2,P17706
CDC20,Q12834
PLP1,P60201
CCL4,P13236
AREG,P15514
GRK2,P25098
FXN,Q16595
ADAM12,O43184
SCD,O00767
TFAM,Q00059
SREBF2,Q12772
CD59,P13987
RORA,P35398
YWHAQ,P27348
TSC1,Q92574
THY1,P04216
KLF5,Q13887
TRAF3,Q13114
PFKFB3,Q16875
DOCK4,Q8N1I0
TUG1,A0A6I8PU40
PRKD1,Q15139
TRPM8,Q7Z2W7
WAS,P42768
SLC1A2,P43004
TNFAIP6,P98066
F12,P00748
MERTK,Q12866
WFS1,O76024
BEST1,O76090
SLC7A11,Q9UPY5
IGF2BP2,Q9Y6M1
PRDM1,O75626
NEDD4L,Q96PU5
CD200,P41217
ATF6,P18850
TNFSF13,O75888
ATF2,P15336
GRIN1,Q05586
SFRP1,Q8N474
HSP90AB1,P08238
CCL11,P51671
GPBAR1,Q8TDU6
ENTPD1,P49961
FTL,P02792
CD86,P42081
CTSL,P07711
HMGCR,P04035
IL11,P20809
MYLK,Q15746
VTCN1,Q7Z7D3
GLO1,Q04760
ATG5,Q9H1Y0
CCL21,O00585
CTSG,P08311
PON2,Q15165
XDH,P47989
FSTL1,Q12841
TFPI2,P48307
DSP,P15924
SFRP5,Q5T4F7
KRT5,P13647
IRF6,O14896
TAP1,Q03518
TERF2,Q15554
PDIA3,P30101
LGR5,O75473
TET1,Q8NFU7
PDCD1LG2,Q9BQ51
VIP,P01282
CSF3,P09919
KCNJ2,P63252
MAOB,P27338
TGFB3,P10600
CYP27B1,O15528
DLL4,Q9NR61
IRF7,Q92985
FABP1,P07148
MTNR1B,P49286
CD1D,P15813
FOXP1,Q9H334
CTSK,P43235
IFNL4,K9M1U5
ABCC4,O15439
BDKRB1,P46663
DHX9,Q08211
GATA6,Q92908
IGF2R,P11717
KHDRBS1,Q07666
JAK3,P52333
CUL4A,Q13619
DDR1,Q08345
SLC30A8,Q8IWU4
LOXL1,Q08397
HSD11B2,P80365
ADCYAP1,P18509
VTN,P04004
GP6,Q9HCN6
IRS2,Q9Y4H2
CADM1,Q9BY67
RAP1A,P62834
FTH1,P02794
IL31,Q6EBC2
C1QTNF3,Q9BXJ4
ROCK2,O75116
EHMT2,Q96KQ7
CRYAA,P02489
PITX2,Q99697
SLC5A5,Q92911
SLIT2,O94813
SULT1A1,P50225
TXNRD1,Q16881
GREM1,O60565
C4A,P0C0L4
SLC40A1,Q9NP59
PAX5,Q02548
BIRC3,Q13489
YWHAG,P61981
FADS2,O95864
BIN1,O00499
OCLN,Q16625
SOS1,Q07889
DEFB103B,P81534
RNF213,Q63HN8
SLC3A2,P08195
LY96,Q9Y6Y9
BMAL1,O00327
DMBT1,Q9UGM3
NLRP1,Q9C000
SORT1,Q99523
FGF7,P21781
ITGAL,P20701
AXIN1,O15169
IKBKE,Q14164
DKK3,Q9UBP4
HNRNPD,Q14103
LGALS3BP,Q08380
TNFSF14,O43557
DEK,P35659
TNFRSF10A,O00220
MUC2,Q02817
TFF1,P04155
BGN,P21810
AOC3,Q16853
COPS5,Q92905
NR5A2,O00482
IFITM3,Q01628
KCNJ5,P48544
FCGR3B,O75015
FADS1,O60427
PGK1,P00558
BIRC2,Q13490
CHRNA4,P43681
SLPI,P03973
RIPK2,O43353
TNFRSF12A,Q9NP84
AQP2,P41181
WNT3A,P56704
KDM6B,O15054
TRIM25,Q14258
CAPN1,P07384
HCRT,O43612
PRKCQ,Q04759
RTN4,Q9NQC3
KRT8,P05787
FCER1A,P12319
ALOX5AP,P20292
REL,Q04864
BNIP3,Q12983
ADIPOR1,Q96A54
UPF1,Q92900
FABP3,P05413
ESRRA,P11474
TNFRSF9,Q07011
MRTFA,Q969V6
FOSL1,P15407
LIN28A,Q9H9Z2
FLI1,Q01543
CCRL2,O00421
AZGP1,P25311
EGLN1,Q9GZT9
TYMP,P19971
SFRP2,Q96HF1
LMNB1,P20700
SDC4,P31431
CCL26,Q9Y258
DEFA1,P59665
SMAD1,Q15797
CIP2A,Q8TCG1
APOA4,P06727
TMSB4X,P62328
CD80,P33681
PVR,P15151
RPS6KA3,P51812
PIK3CD,O00329
TBXA2R,P21731
TNIP1,Q15025
SLC29A1,Q99808
TNFRSF6B,O95407
LILRB1,Q8NHL6
PLA2G6,O60733
UBE2C,O00762
LOXL2,Q9Y4K0
APAF1,O14727
CLEC7A,Q9BXN2
ZC3H12A,Q5D1E8
NCK1,P16333
MTHFD1,P11586
VASP,P50552
ATP6AP2,O75787
AKR1C3,P42330
AQP5,P55064
GLRA1,P23415
DROSHA,Q9NRR4
PRAME,P78395
UCP3,P55916
PTGER4,P35408
NEU1,Q99519
LIPG,Q9Y5X9
ICOS,Q9Y6W8
CTBP1,Q13363
NR1H2,P55055
PIK3CB,P42338
MST1R,Q04912
CFB,P00751
ANPEP,P15144
GOLM1,Q8NBJ4
ALOX12,P18054
TLN1,Q9Y490
NOTCH4,Q99466
ELK1,P19419
APOM,O95445
HRH1,P35367
DSG2,Q14126
HIPK2,Q9H2X6
TRIB3,Q96RU7
IL1R2,P27930
TLR1,Q15399
CD226,Q15762
GHSR,Q92847
APOC1,P02654
RAB11A,P62491
MAPK9,P45984
HES1,Q14469
CPT1A,P50416
PER2,O15055
PRDX6,P30041
SLC15A1,P46059
SPRY2,O43597
HUWE1,Q7Z6Z7
ACKR4,Q9NPB9
RECK,O95980
FOXA2,Q9Y261
GLS,O94925
IGFBP5,P24593
P4HB,P07237
INHA,P05111
SLC1A5,Q15758
SELENOP,P49908
LAMC2,Q13753
TNFSF4,P23510
PDGFA,P04085
HTRA2,O43464
ACVR1,Q04771
MT2A,P02795
LRG1,P02750
UTS2,O95399
SFTPB,P07988
PTN,P21246
CMA1,P23946
TRAF1,Q13077
KRT14,P02533
STAT2,P52630
MAP2K2,P36507
NDRG2,Q9UN36
CSNK2A2,P19784
SHANK3,Q9BYB0
TLR6,Q9Y2C9
IL17RA,Q96F46
AKR1B10,O60218
PCBP2,Q15366
TBX5,Q99593
FCN2,Q15485
PTGES,O14684
E2F3,O00716
NCF1,P14598
SUMO2,P61956
ABCG1,P45844
SETD2,Q9BYW2
PSMD4,P55036
MAPKAPK2,P49137
UBA1,P22314
RELB,Q01201
CD151,P48509
SLC5A2,P31639
CD99,P14209
METTL14,Q9HCE5
RNASEL,Q05823
MMP10,P09238
F11R,Q9Y624
CCR1,P32246
CXCR5,P32302
FABP5,Q01469
SMURF1,Q9HCE7
ACP5,P13686
ATG7,O95352
OLFM4,Q6UX06
CCN4,O95388
CD19,P15391
P2RY2,P41231
GPR55,Q9Y2T6
PCBP1,Q15365
CXCL14,O95715
GTF2I,P78347
CFI,P05156
MAP2K4,P45985
PLD1,Q13393
GABRG2,P18507
HPGD,P15428
YWHAH,Q04917
CASP6,P55212
NFAT5,O94916
ORMDL3,Q8N138
NOX5,Q96PH1
CYP4F2,P78329
JUNB,P17275
TIGIT,Q495A1
FGF19,O95750
RPS3,P23396
RORC,P51449
FST,P19883
RBPJ,Q06330
ITGA1,P56199
RHOB,P62745
NEDD8,Q15843
CIRBP,Q14011
THBS2,P35442
FCER2,P06734
SIRPA,P78324
RGS2,P41220
TPT1,P13693
SDC2,P34741
USF1,P22415
ADORA1,P30542
PRKAA2,P54646
TNFRSF14,Q92956
UBE2Q1,Q7Z7E8
STK4,Q13043
SCNN1B,P51168
STC1,P52823
GRM5,P41594
CCN3,P48745
HRH4,Q9H3N8
SERPINB2,P05120
GNAI2,P04899
NR4A3,Q92570
MATR3,P43243
TREX1,Q9NSU2
ROR2,Q01974
HK1,P19367
SUV39H1,O43463
PIAS1,O75925
ORM1,P02763
ITGAX,P20702
KLK1,P06870
RAB27A,P51159
CXCL11,O14625
DUX4,Q9UBX2
WIF1,Q9Y5W5
CYP2J2,P51589
ADA2,Q9NZK5
IL1F10,Q8WWZ1
IL34,Q6ZMJ4
ETS2,P15036
PTGDS,P41222
LIMK1,P53667
GRM1,Q13255
NTS,P30990
ADORA2B,P29275
SLC16A4,O15374
MSH3,P20585
MFGE8,Q08431
SND1,Q7KZF4
NEDD9,Q14511
ADORA3,P0DMS8
TMPRSS6,Q8IU80
AMBP,P02760
GPNMB,Q14956
PAFAH1B1,P43034
CCK,P06307
GSK3A,P49840
TPSAB1,Q15661
LBP,P18428
CD300LF,Q8TDQ1
ABCA3,Q99758
NR2C2,P49116
ROBO1,Q9Y6N7
CXCL2,P19875
NKX3-1,Q99801
GAB1,Q13480
CYP27A1,Q02318
KAT2A,Q92830
IRF8,Q02556
STS,P08842
DCLK1,O15075
ALKBH5,Q6P6C2
SESN2,P58004
GSDMD,P57764
SETDB1,Q15047
PRKAB1,Q9Y478
TCN2,P20062
ST14,Q9Y5Y6
PLIN2,Q99541
BMPR1A,P36894
NPPC,P23582
PTGER3,P43115
HDAC5,Q9UQL6
INPP5D,Q92835
TNFRSF4,P43489
ERVW-1,Q9UQF0
CADM3,Q8N126
TIRAP,P58753
S100A10,P60903
TICAM1,Q8IUC6
PI3,P19957
MEF2A,Q02078
SIRT7,Q9NRC8
SERPINB3,P29508
GAST,P01350
PSME3,P61289
S100A11,P31949
MVP,Q14764
DDB2,Q92466
DANCR,P0C864
CLDN2,P57739
SMURF2,Q9HAU4
MASP1,P48740
DAB2,P98082
MAP3K14,Q99558
SLC10A1,Q14973
CCKBR,P32239
ADAMTS4,O75173
USP14,P54578
AIMP1,Q12904
FANCC,Q00597
HMMR,O75330
STAU1,O95793
EDIL3,O43854
RGS4,P49798
LGALS8,O00214
SLC1A3,P43003
CCL22,O00626
ATXN1,P54253
LAMB3,Q13751
DUOX2,Q9NRD8
TNFRSF13B,O14836
RNF2,Q99496
ELF3,P78545
ECE1,P42892
PSMB8,P28062
PBRM1,Q86U86
PLIN1,O60240
SLC11A2,P49281
GPX3,P22352
SLC1A1,P43005
CMKLR1,Q99788
SFRP4,Q6FHJ7
